Demodulated Signal 1,Demodulated Signal 2,Demodulated Signal 3,Interferometric Phase,PTI Signal,Response Phase 1,Response Phase 2,Response Phase 3,Root Mean Square 1,Root Mean Square 2,Root Mean Square 3
-5.71667e-07,8.77677e-08,4.83899e-07,-0.670799,-3.40894e-07,-0.607148,2.40388,2.55704,6.05199e-07,8.96239e-08,5.1647e-07
-1.32556e-06,-1.01126e-06,2.33682e-06,-0.676045,-1.6478e-06,-0.532606,-0.148933,2.80055,1.44471e-06,1.44064e-06,2.83242e-06
-3.14225e-06,-2.34269e-06,5.48494e-06,-0.679614,-3.87029e-06,-1.02252,-1.20986,2.03757,3.15257e-06,2.42959e-06,5.55811e-06
-1.02186e-06,8.11394e-09,1.01375e-06,-0.684176,-7.15946e-07,-1.16963,-2.53014,1.59956,1.04901e-06,4.57127e-07,1.22866e-06
-1.68677e-06,-1.32727e-06,3.01403e-06,-0.686277,-2.1295e-06,-0.462149,-0.250461,2.78005,1.90111e-06,1.72255e-06,3.60343e-06
-1.08215e-06,-5.17139e-07,1.5993e-06,-0.681865,-1.12898e-06,-1.03632,-1.81455,1.77725,1.08703e-06,8.04803e-07,1.75368e-06
-1.66835e-06,-8.66492e-07,2.53485e-06,-0.674379,-1.78689e-06,-0.597794,-0.0248528,2.79822,1.77205e-06,1.42419e-06,3.06756e-06
-1.78315e-06,-1.30247e-06,3.08562e-06,-0.673791,-2.17491e-06,-0.691256,-1.02706,2.31114,1.84052e-06,1.30724e-06,3.10477e-06
-6.80277e-07,1.70755e-07,5.09518e-07,-0.684421,-3.5986e-07,-1.59541,-2.77272,1.04235,8.57026e-07,6.63377e-07,1.26906e-06
-1.83311e-06,-1.2094e-06,3.04251e-06,-0.702854,-2.15694e-06,-0.283946,-0.149642,2.9149,2.3162e-06,1.72166e-06,4.02895e-06
-1.39703e-06,-1.00774e-06,2.40477e-06,-0.723745,-1.71284e-06,-1.36571,-1.48166,1.72558,1.53283e-06,1.17496e-06,2.70333e-06
-5.80631e-07,1.49694e-08,5.6566e-07,-0.743678,-4.04883e-07,-0.355711,-2.85511,2.74555,6.96847e-07,4.45454e-08,6.61714e-07
-3.52815e-06,-1.24876e-06,4.77691e-06,-0.762054,-3.43595e-06,-0.513476,-0.295539,2.6906,3.87816e-06,1.56395e-06,5.41568e-06
-2.36197e-06,-1.11883e-06,3.4808e-06,-0.777152,-2.51446e-06,-1.07809,-1.27335,1.99883,2.38415e-06,1.18335e-06,3.55244e-06
-2.14988e-06,-6.83606e-07,2.83349e-06,-0.78674,-2.05271e-06,-0.743621,-0.825408,2.37844,2.19271e-06,6.88246e-07,2.8792e-06
-1.30208e-06,-1.64457e-07,1.46653e-06,-0.793135,-1.06451e-06,-1.42004,-2.18884,1.52838,1.46679e-06,5.17265e-07,1.87341e-06
-1.52974e-06,-3.97224e-07,1.92696e-06,-0.800794,-1.40209e-06,-0.89613,-1.31628,2.15508,1.53132e-06,4.26837e-07,1.9289e-06
-7.01793e-07,-1.52247e-07,8.54037e-07,-0.807402,-6.22738e-07,-0.387888,0.215783,2.94069,8.25074e-07,3.78965e-07,1.15723e-06
-3.99934e-06,-1.28375e-06,5.28308e-06,-0.811107,-3.85694e-06,-0.637583,-0.684333,2.49277,4.19155e-06,1.32743e-06,5.51787e-06
-9.04959e-07,7.74704e-08,8.27494e-07,-0.813217,-6.04536e-07,-1.81806,-2.62599,1.06743,1.41428e-06,6.83397e-07,1.95012e-06
-2.26431e-06,-2.63814e-07,2.52813e-06,-0.813506,-1.84714e-06,-0.239192,0.299709,3.01604,2.96651e-06,8.15337e-07,3.69009e-06
