Heating,Detector 1,Detector 2,Detector 3,
2.38906,0.614964,0.187854,0.0570855,
2.3943,0.609964,0.200979,0.0492738,
2.39955,0.6034,0.213167,0.042712,
2.4048,0.595274,0.225042,0.0395873,
2.41004,0.586835,0.236292,0.0377125,
2.41529,0.575584,0.246918,0.0386499,
2.42054,0.562457,0.25723,0.0411496,
2.42579,0.54933,0.266606,0.0458366,
2.43103,0.53464,0.275981,0.0530234,
2.43628,0.518076,0.284731,0.0620849,
2.44153,0.501198,0.291919,0.0733337,
2.44678,0.482446,0.297856,0.0852075,
2.45202,0.46338,0.304419,0.100518,
2.45727,0.443378,0.308794,0.116767,
2.46252,0.424937,0.312544,0.134577,
2.46777,0.403684,0.315044,0.153638,
2.47301,0.383994,0.316919,0.173948,
2.47826,0.362116,0.317544,0.196133,
2.48351,0.341801,0.316919,0.218006,
2.48876,0.321173,0.315044,0.242378,
2.494,0.300857,0.313481,0.266751,
2.49925,0.280542,0.309731,0.291748,
2.5045,0.261164,0.304731,0.316746,
2.50975,0.242099,0.299731,0.343305,
2.51499,0.223346,0.292856,0.37049,
2.52024,0.205844,0.285043,0.396425,
2.52549,0.190217,0.277543,0.421735,
2.53073,0.173652,0.267856,0.449857,
2.53598,0.159275,0.258168,0.474854,
2.54123,0.146148,0.24723,0.500164,
2.54648,0.133021,0.235355,0.525161,
2.55172,0.122395,0.223792,0.548596,
2.55697,0.113018,0.212229,0.570781,
2.56222,0.10458,0.200042,0.592029,
2.56747,0.0977037,0.186917,0.612965,
2.57271,0.0923905,0.173791,0.6314,
2.57796,0.0886399,0.161604,0.648273,
2.58321,0.0864521,0.148478,0.663584,
2.58846,0.085827,0.135041,0.677333,
2.5937,0.0870772,0.12254,0.688582,
2.59895,0.0905152,0.109415,0.697956,
2.6042,0.0955159,0.0981648,0.70483,
2.60945,0.102079,0.0859771,0.709204,
2.61469,0.10958,0.0747269,0.712017,
2.61994,0.119894,0.0641017,0.712017,
2.62519,0.131146,0.0541015,0.709517,
2.63043,0.144585,0.0453513,0.70483,
2.63568,0.158025,0.0372262,0.697331,
2.64093,0.175215,0.0294135,0.687644,
2.64618,0.193342,0.0228509,0.675458,
2.65142,0.211157,0.0175383,0.661084,
2.65667,0.231785,0.0122257,0.644211,
2.66192,0.251788,0.00910062,0.626401,
2.66717,0.273354,0.00660057,0.605778,
2.67241,0.295857,0.00535055,0.584218,
2.67766,0.318047,0.00472553,0.56047,
2.68291,0.341488,0.00566305,0.534535,
2.68816,0.364304,0.00691308,0.5086,
2.6934,0.38712,0.00941312,0.481416,
2.69865,0.410248,0.0131632,0.453606,
2.7039,0.433064,0.0178508,0.424234,
2.70915,0.454629,0.0234759,0.396112,
2.71439,0.47557,0.029726,0.366428,
2.71964,0.496198,0.0369136,0.337993,
2.72489,0.514325,0.0450388,0.309871,
2.73013,0.53214,0.0534765,0.282374,
2.73538,0.54808,0.0634767,0.25519,
2.74063,0.562769,0.0737893,0.228942,
2.74588,0.577147,0.0844146,0.20332,
2.75112,0.588398,0.0959773,0.17926,
2.75637,0.597149,0.107852,0.1577,
2.76162,0.605901,0.12004,0.13614,
2.76687,0.611526,0.132228,0.117079,
2.77211,0.615589,0.145041,0.0998934,
2.77736,0.617777,0.158166,0.0852075,
2.78261,0.617777,0.170354,0.0717714,
2.78786,0.615902,0.182854,0.0605226,
2.7931,0.612464,0.195979,0.051461,
2.79835,0.606526,0.207542,0.0448992,
2.8036,0.599337,0.220042,0.0398998,
2.80885,0.590586,0.23098,0.038025,
2.81409,0.579334,0.242543,0.0374,
2.81934,0.568083,0.253168,0.0398998,
2.82459,0.555894,0.262855,0.0433369,
2.82984,0.541204,0.271918,0.0492738,
2.83508,0.525889,0.280668,0.0573979,
2.84033,0.508387,0.288481,0.0680218,
2.84558,0.491197,0.295044,0.0795831,
2.85082,0.472757,0.301606,0.0930192,
2.85607,0.454004,0.306606,0.108643,
2.86132,0.433689,0.310981,0.124891,
2.86657,0.414936,0.313794,0.143014,
2.87181,0.393683,0.316607,0.162699,
2.87706,0.37368,0.317232,0.183947,
2.88231,0.35274,0.317232,0.206445,
2.88756,0.332112,0.316607,0.228942,
2.8928,0.312422,0.314731,0.252377,
2.89805,0.292731,0.311919,0.277062,
2.9033,0.272416,0.307856,0.302372,
2.90855,0.253351,0.302544,0.328932,
2.91379,0.234286,0.295981,0.355804,
2.91904,0.216158,0.289418,0.382364,
2.92429,0.198655,0.281918,0.407674,
2.92954,0.182716,0.273168,0.434546,
2.93478,0.167401,0.263168,0.460793,
2.94003,0.153024,0.253168,0.486728,
2.94528,0.139585,0.24223,0.5111,
2.95052,0.12802,0.230355,0.536723,
2.95577,0.117394,0.21848,0.56047,
2.96102,0.108018,0.205979,0.582343,
2.96627,0.100517,0.193479,0.602653,
2.97151,0.0948908,0.180354,0.622339,
2.97676,0.0898901,0.167229,0.639837,
2.98201,0.0870772,0.153791,0.65671,
2.98726,0.0861396,0.140666,0.671083,
2.9925,0.0870772,0.128165,0.682645,
2.99775,0.0889525,0.115665,0.693581,
3.003,0.0933281,0.103165,0.70108,
3.00825,0.0980163,0.0919147,0.70733,
3.01349,0.105517,0.080977,0.711079,
3.01874,0.114269,0.0697268,0.712329,
3.02399,0.12427,0.0600391,0.710454,
3.02924,0.136772,0.0503514,0.707642,
3.03448,0.149273,0.0425388,0.701705,
3.03973,0.164901,0.0341011,0.694518,
3.04498,0.179903,0.0275385,0.684519,
3.05022,0.19803,0.0209758,0.671083,
3.05547,0.216158,0.0156632,0.656397,
3.06072,0.235848,0.0112882,0.639212,
3.06597,0.257101,0.0081631,0.621401,
3.07121,0.277729,0.00628806,0.600466,
3.07646,0.298982,0.00503804,0.579218,
3.08171,0.32086,0.00441303,0.55672,
3.08696,0.343676,0.00535055,0.532348,
3.0922,0.365867,0.00753809,0.506101,
3.09745,0.388682,0.0103506,0.478916,
3.1027,0.410248,0.0134757,0.452981,
3.10795,0.432751,0.0181633,0.424547,
3.11319,0.454317,0.0231634,0.396112,
