i;DC1;DC2;DC3;X1;Y1;X2;Y2;X3;Y3
221;0.01675425;0.8593472;0.8176908;5.32963E-08;1.93537E-08;-4.09144E-07;-1.30306E-06;-9.06755E-07;1.49281E-07
222;0.01674558;0.8602011;0.8168777;5.82311E-08;8.78228E-09;-3.73699E-07;-1.44361E-06;-9.28119E-07;4.39584E-08
223;0.01674083;0.8607361;0.816364;6.44828E-08;2.75316E-08;-1.60251E-07;-1.18474E-06;-7.01853E-07;4.13333E-07
224;0.01673927;0.8609811;0.8161358;6.83004E-08;5.02996E-08;3.47732E-07;-1.02546E-06;-3.61457E-07;5.33957E-07
225;0.01673933;0.8609924;0.8161376;6.09755E-08;3.7805E-08;4.2936E-07;-8.59473E-07;3.20761E-08;6.90085E-07
226;0.01674045;0.8608221;0.8163152;2.94863E-08;3.93885E-08;4.60398E-07;-5.02552E-07;2.25912E-07;1.14734E-06
227;0.0167416;0.8605307;0.8165904;3.0338E-08;4.44353E-08;7.77398E-07;-1.85019E-07;4.19344E-07;1.30239E-06
228;0.01674208;0.8602149;0.8168832;-8.26353E-10;5.03111E-08;4.1874E-07;-1.14407E-07;1.73002E-07;1.34844E-06
229;0.01674248;0.8599219;0.8171729;2.46806E-09;2.61891E-08;5.00176E-07;-2.49621E-07;1.34255E-07;1.31826E-06
230;0.01674241;0.859655;0.8174269;-2.00633E-09;3.66432E-08;3.93075E-07;9.17955E-08;-1.00983E-07;1.55223E-06
231;0.01674208;0.8594631;0.8176055;-1.27763E-08;3.55933E-08;2.7726E-07;4.59663E-07;7.02961E-09;1.89675E-06
232;0.01674184;0.8594196;0.8176501;-2.11004E-08;6.62236E-08;3.72661E-07;6.67346E-07;7.4752E-08;2.01926E-06
233;0.01674108;0.8595837;0.8174936;-1.91209E-08;5.1179E-08;7.72904E-08;3.35242E-07;-2.56802E-07;1.71132E-06
234;0.01674029;0.8599968;0.8170898;-3.64591E-08;2.9627E-08;-5.96788E-07;1.04561E-07;-7.49347E-07;1.61725E-06
235;0.01674071;0.8606609;0.8164573;-5.92197E-08;-1.66149E-13;-5.8831E-07;-1.99123E-07;-9.51797E-07;1.1702E-06
236;0.01674297;0.8615715;0.8155821;-4.48009E-08;-9.66055E-10;-4.39219E-07;-4.98503E-07;-8.44344E-07;9.2945E-07
237;0.01674854;0.8627408;0.8144621;-3.58948E-08;-1.30327E-08;-5.79002E-07;-3.7377E-07;-1.05132E-06;9.84524E-07
